symbol,name,price,marketCap,volume,industry
FCEL,FuelCell Energy Inc. Common Stock,24.04,1625300479.0,14915010,Energy
WKC,World Kinect Corporation Common Stock,31.12,1598181635.0,3645486,Energy
KRP,Kimbell Royalty Partners Common Units Representing Limited Partner Interests,14.77,1591830694.0,1035910,Energy
XPRO,Expro Group Holdings N.V. Common Stock,13.82,1567122811.0,1827346,Energy
SOC,Sable Offshore Corp. Common Stock,10.12,1562152649.0,9117126,Energy
RES,RPC Inc. Common Stock,6.58,1458377612.0,3303609,Energy
GLP,Global Partners LP Common Units representing Limited Partner Interests,42.58,1447531073.0,538959,Energy
TTI,Tetra Technologies Inc. Common Stock,10.24,1386393457.0,2362730,Energy
NRP,Natural Resource Partners LP Limited Partnership,100.79,1335509025.0,62592,Energy
HLX,Helix Energy Solutions Group Inc. Common Stock,8.69,1280003039.0,4302368,Energy
DMLP,Dorchester Minerals L.P. Common Units Representing Limited Partnership Interests,25.0,1206386250.0,1143096,Energy
PBT,Permian Basin Royalty Trust Common Stock,24.97,1163821636.0,205114,Energy
ACDC,ProFrac Holding Corp. Class A Common Stock,6.07,1098188971.0,2160866,Energy
SBR,Sabine Royalty Trust Common Stock,72.28,1053795057.0,39540,Energy
METC,Ramaco Resources Inc. Class A Common Stock,13.99,929827751.0,1473426,Energy
HPK,HighPeak Energy Inc. Common Stock,7.18,907251187.0,1037194,Energy
CAPL,CrossAmerica Partners LP Common Units representing limited partner interests,22.02,840158369.0,78474,Energy
INR,Infinity Natural Resources Inc. Class A Common Stock,12.79,812572195.0,739099,Energy
REPX,Riley Exploration Permian Inc. Common Stock,32.82,712060981.0,665845,Energy
TXO,TXO Partners L.P. Common Units Representing Limited Partner Interests,12.38,683902237.0,124717,Energy
VTS,Vitesse Energy Inc. Common Stock,16.01,667815908.0,1355776,Energy
METCB,Ramaco Resources Inc. Class B Common Stock,9.65,641375110.0,63483,Energy
NUAI,New Era Energy & Digital Inc. Common Stock,6.25,633068300.0,17016231,Energy
GRNT,Granite Ridge Resources Inc. Common Stock,4.69,618592193.0,1272310,Energy
EGY,VAALCO Energy Inc.  Common Stock,5.58,581761052.0,4332378,Energy
FIP,FTAI Infrastructure Inc. Common Stock ,4.81,568366700.0,1132903,Energy
NGS,Natural Gas Services Group Inc. Common Stock,42.1,530391167.0,208698,Energy
SD,SandRidge Energy Inc. Common Stock,14.02,517593991.0,858161,Energy
WTI,W&T Offshore Inc. Common Stock,3.21,477576411.0,7050963,Energy
NPWR,NET Power Inc. Class A Common Stock,1.83,411313876.0,959531,Energy
NC,NACCO Industries Inc. Common Stock,49.87,376050221.0,21628,Energy
RNGR,Ranger Energy Services Inc. Class A Common Stock,15.28,363077599.0,257672,Energy
PNRG,PrimeEnergy Resources Corporation Common Stock,175.29,283619220.0,77435,Energy
NUAIW,New Era Energy & Digital Inc. Warrants,2.58,261330594.0,43282,Energy
REI,Ring Energy Inc. Common Stock,1.14,238726465.0,8130964,Energy
APC,ARKO Petroleum Corp. Class A Common Stock,18.39,231166401.0,298358,Energy
AREC,American Resources Corporation Class A Common Stock,2.15,229988235.0,1855509,Energy
EAF,GrafTech International Ltd. Common Stock,7.71,200828808.0,851370,Energy
ANNA,AleAnna Inc. Class A Common Stock,2.93,196117792.0,182561,Energy
KGEI,Kolibri Global Energy Inc. Common stock,4.9,174027342.0,239522,Energy
AMPY,Amplify Energy Corp. Common Stock,4.13,170517115.0,644370,Energy
