symbol,name,price,marketCap,volume,industry
LWAY,Lifeway Foods Inc. Common Stock,29.75,454636168.0,431069,Consumer Staples
SUJA,Suja Life Inc. Class A Common Stock,9.88,381615119.0,266432,Consumer Staples
WEYS,Weyco Group Inc. Common Stock,38.64,368324285.0,21156,Consumer Staples
MGPI,MGP Ingredients Inc.,16.76,358181932.0,185204,Consumer Staples
BYND,Beyond Meat Inc. Common Stock,0.6817,351308909.0,32457566,Consumer Staples
BGS,B&G Foods Inc. Common Stock,3.97,322232994.0,2287914,Consumer Staples
BRCC,BRC Inc. Class A Common Stock,1.25,311877866.0,329163,Consumer Staples
LMNR,Limoneira Co Common Stock,13.14,238254572.0,74925,Consumer Staples
MED,MEDIFAST INC Common Stock,10.36,115194031.0,327072,Consumer Staples
ZVIA,Zevia PBC Class A Common Stock,1.48,113936506.0,1551153,Consumer Staples
GNSS,Genasys Inc. Common Stock,1.62,73778055.0,69148,Consumer Staples
BOF,BranchOut Food Inc. Common Stock,4.5,68922135.0,69690,Consumer Staples
BRID,Bridgford Foods Corporation Common Stock,6.7,60814774.0,15540,Consumer Staples
HAIN,Hain Celestial Group Inc. (The) Common Stock,0.5953,53727898.0,1511069,Consumer Staples
UEIC,Universal Electronics Inc. Common Stock,4.25,53678784.0,38020,Consumer Staples
RYM,RYTHM Inc. Common Stock,24.8,53298374.0,19192,Consumer Staples
SOWG,Sow Good Inc. Common Stock,2.6,52312304.0,28789,Consumer Staples
PETS,PetMed Express Inc. Common Stock,1.79,38244750.0,33049,Consumer Staples
KOSS,Koss Corporation Common Stock,4.01,37960416.0,16774,Consumer Staples
BRFH,Barfresh Food Group Inc. Common Stock,2.07,33417047.0,12032,Consumer Staples
AMSS,AMASS Brands Inc. Common Stock,2.05,29301261.0,342029,Consumer Staples
JVA,Coffee Holding Co. Inc. Common Stock,3.3,18838377.0,100944,Consumer Staples
TULP,Bloomia Holdings Inc. Common Stock,3.75,17897089.0,5511,Consumer Staples
YHC,LQR House Inc. Common Stock,0.819,17503386.0,87858,Consumer Staples
RMCF,Rocky Mountain Chocolate Factory Inc. Common Stock,1.5,14098239.0,141184,Consumer Staples
WVVI,Willamette Valley Vineyards Inc. Common Stock,2.51,12498618.0,7883,Consumer Staples
WVVIP,Willamette Valley Vineyards Inc. Series A Redeemable Preferred Stock,2.4601,12250139.0,4479,Consumer Staples
RIME,Algorhythm Holdings Inc. Common Stock,0.6237,9621170.0,122154,Consumer Staples
MSN,Emerson Radio Corporation Common Stock,0.3455,7270236.0,273040,Consumer Staples
AQB,AquaBounty Technologies Inc. Common Stock,1.18,6073701.0,257417,Consumer Staples
MSS,Maison Solutions Inc. Class A Common Stock,0.7093,4173593.0,106057,Consumer Staples
IPST,IP Strategy Holdings Inc. Common Stock,2.92,2107008.0,30428,Consumer Staples
RKDA,Arcadia Biosciences Inc. Common Stock,0.6705,1379141.0,85809,Consumer Staples
EDBL,Edible Garden AG Incorporated Common Stock,0.19,1039170.0,843582,Consumer Staples
EDBLW,Edible Garden AG Incorporated Warrant,0.039,213303.0,2660,Consumer Staples
