symbol,name,industry,close,marketCap,aboveSma12m,aboveSma200,aboveSma150,vcp,contractions,volatilityRatio,pe,peTrend,fcf,fcfTrend,eps,epsTrend,freeFloatPct,closelyHeldPct,employees,rulesPassed,rulesTotal,score
KMI,Kinder Morgan Inc. Common Stock,Utilities,32.33,71992511537,true,true,true,false,9,2.67,,unknown,,unknown,,unknown,,,11028,6,12,5
TRI,Thomson Reuters Corporation Common Shares,Consumer Discretionary,99.06,42912792000,true,true,true,false,12,1.93,,unknown,,unknown,,unknown,,,25200,6,12,5
PCAR,PACCAR Inc. Common Stock,Consumer Discretionary,130.84,68869590451,true,true,true,false,14,2.26,,unknown,,unknown,,unknown,,,25900,6,12,5
ROST,Ross Stores Inc. Common Stock,Consumer Discretionary,235.28,75473371561,true,true,true,false,10,0.25,,unknown,,unknown,,unknown,,,111000,6,12,5
WDAY,Workday Inc. Class A Common Stock,Technology,191.18,47221460000,true,true,true,false,13,3.69,,unknown,,unknown,,unknown,,,21000,6,12,5
AFL,AFLAC Incorporated Common Stock,Finance,120.98,60652512192,true,true,true,false,12,0.98,,unknown,,unknown,,unknown,,,12716,6,12,5
NDAQ,Nasdaq Inc. Common Stock,Finance,96.68,54041932325,true,true,true,false,9,27.3,,unknown,,unknown,,unknown,,,9525,6,12,5
BRKRP,Bruker Corporation 6.375% Mandatory Convertible Preferred Stock Series A,Industrials,424.62,64694812760,true,true,true,false,10,1.08,,unknown,,unknown,,unknown,,,11085,6,12,5
EOG,EOG Resources Inc. Common Stock,Energy,146.15,76659939072,true,true,true,false,12,0.18,,unknown,,unknown,,unknown,,,3400,6,12,5
PYPL,PayPal Holdings Inc. Common Stock,Industrials,60.47,51729719051,true,true,true,false,9,44.58,,unknown,,unknown,,unknown,,,23800,6,12,5
BDX,Becton Dickinson and Company Common Stock,Health Care,182.09,49598912412,true,true,true,false,12,0.19,,unknown,,unknown,,unknown,,,72000,6,12,5
ET,Energy Transfer LP Common Units ,Utilities,20.94,72102693645,true,true,true,false,12,0.19,,unknown,,unknown,,unknown,,,22311,6,12,5
ARES,Ares Management Corporation Class A Common Stock,Finance,141.34,46681383547,true,true,true,false,10,4.41,,unknown,,unknown,,unknown,,,4250,6,12,5
APD,Air Products and Chemicals Inc. Common Stock,Basic Materials,300.86,66997168556,true,true,true,false,10,0.26,,unknown,,unknown,,unknown,,,21300,6,12,5
MPLX,MPLX LP Common Units Representing Limited Partner Interests,Energy,59.08,59898745469,true,true,true,false,15,0.85,,unknown,,unknown,,unknown,,,5762,6,12,5
ALL,Allstate Corporation (The) Common Stock,Finance,258.1,65262636895,true,true,true,false,13,4.68,,unknown,,unknown,,unknown,,,53300,6,12,5
DLR,Digital Realty Trust Inc. Common Stock,Real Estate,197.91,73233859592,true,true,true,false,10,2,,unknown,,unknown,,unknown,,,4282,6,12,5
