date,symbol,industry,entry,rulesPassed,score,ret5,ret10,ret20,maxRunup10,maxDrawdown10,win10
2026-09-08,ELC,Utilities,19.42,4,25.48,-0.21,-0.57,,1.39,-0.57,false
2026-09-09,AGNCM,Real Estate,25.18,7,36.14,1.11,0.76,,1.17,0.68,true
2026-09-09,PEN,Health Care,320.44,4,35.73,-0.48,-0.33,,-0.22,-0.88,false
2026-09-09,HCXY,Finance,25,4,26.82,-0.24,0.52,,0.52,-0.32,true
2026-09-09,ELC,Utilities,19.47,4,25.48,-0.1,-1.69,,1.13,-1.69,false
2026-09-10,PEN,Health Care,318.92,4,35.73,-0.16,,,0.25,-0.41,
2026-09-10,AGNCM,Real Estate,25.35,7,34.14,0.12,,,0.49,0,
2026-09-10,HCXY,Finance,24.92,4,26.82,0.72,,,0.84,0.08,
2026-09-10,ELC,Utilities,19.69,4,23.48,-1.52,,,-1.22,-2.79,
2026-09-11,AGNCM,Real Estate,25.4,7,34.14,-0.08,,,0.29,-0.2,
2026-09-11,PEN,Health Care,318.21,4,33.73,0.21,,,0.47,-0.19,
2026-09-11,MFAN,Real Estate,25.22,7,25.22,-0.08,,,0.04,-0.28,
2026-09-11,ELC,Utilities,19.42,4,23.48,-0.15,,,0.15,-1.44,
2026-09-11,AES,Utilities,14.81,7,22.84,0.27,,,0.27,-0.03,
2026-09-14,AGNCM,Real Estate,25.48,7,34.14,-0.33,,,-0.06,-0.49,
2026-09-14,DBRG,Real Estate,15.93,7,28.67,-0.28,,,0.35,-0.47,
2026-09-14,TXNM,Utilities,57.76,4,27.54,1.18,,,1.51,0.45,
2026-09-14,MFAN,Real Estate,25.17,4,25.58,0.14,,,0.24,-0.08,
2026-09-14,ELC,Utilities,19.33,4,23.48,0.21,,,0.62,-0.98,
2026-09-14,AES,Utilities,14.83,7,22.84,0.03,,,0.17,-0.13,
2026-09-15,SLAB,Technology,219.5,7,32.38,0.62,,,1.13,0.09,
2026-09-15,EAI,Utilities,19.42,4,27.24,-0.05,,,0.72,-0.41,
2026-09-15,MFAN,Real Estate,25.17,4,23.58,0.12,,,0.24,-0.08,
2026-09-16,VRSN,Technology,299.45,7,12.25,-0.01,,,2.92,-0.33,
2026-09-16,ELV,Health Care,418.22,7,12.04,-3.77,,,-0.95,-3.77,
2026-09-16,SR,Utilities,80.82,4,8.26,-2.87,,,-0.59,-2.87,
2026-09-17,ELV,Health Care,412.56,7,12.04,,,,0.41,-2.46,
2026-09-17,INVX,Consumer Discretionary,29.33,7,11.74,,,,-0.55,-6.82,
2026-09-18,ELV,Health Care,414.26,7,12.04,,,,-0.8,-2.86,
2026-09-18,INVX,Consumer Discretionary,29.17,7,11.74,,,,-1.27,-6.31,
2026-09-18,ADM,Consumer Staples,88.09,7,11.44,,,,-3.3,-6.53,
2026-09-21,LOGI,Technology,101.2,7,12.31,,,,4.57,3.87,
2026-09-21,ADM,Consumer Staples,85.18,7,11.44,,,,-2.11,-3.33,
2026-09-22,ARW,Technology,219.1,7,14.43,,,,1.25,1.25,
2026-09-22,LOGI,Technology,105.12,7,12.31,,,,0.67,0.67,
2026-09-22,ADM,Consumer Staples,83.38,7,11.44,,,,-1.25,-1.25,
